label_name,label_human_description
general_file_size,"Size of the file in bytes."
general_entropy,"Shannon entropy calculated over the entire file content."
general_entropy_bucket_0,"Proportion of file bytes falling into the entropy range [0.0, 1.0)."
general_entropy_bucket_1,"Proportion of file bytes falling into the entropy range [1.0, 2.0)."
general_entropy_bucket_2,"Proportion of file bytes falling into the entropy range [2.0, 3.0)."
general_entropy_bucket_3,"Proportion of file bytes falling into the entropy range [3.0, 4.0)."
general_entropy_bucket_4,"Proportion of file bytes falling into the entropy range [4.0, 5.0)."
general_entropy_bucket_5,"Proportion of file bytes falling into the entropy range [5.0, 6.0)."
general_entropy_bucket_6,"Proportion of file bytes falling into the entropy range [6.0, 7.0)."
general_entropy_bucket_7,"Proportion of file bytes falling into the highest entropy range [7.0, 8.0]."
general_magic_hash,"Numeric hash of the descriptive string returned by the libmagic library."
general_magic_desc_hash,"Numeric hash of the descriptive string returned by the libmagic library. (Note: Appears redundant with general_magic_hash based on name)."
general_is_pe,"Flag indicating if the file is identified as a PE executable (1.0) or not (0.0)."
general_is_elf,"Flag indicating if the file is identified as an ELF executable (1.0) or not (0.0)."
general_is_macho,"Flag indicating if the file is identified as a Mach-O executable (1.0) or not (0.0)."
general_is_pdf,"Flag indicating if the file is identified as a PDF document (1.0) or not (0.0)."
general_is_script,"Flag indicating if the file is identified as a text-based script (1.0) or not (0.0)."
general_reserved_1,"Reserved slot for future general features."
general_reserved_2,"Reserved slot for future general features."
general_reserved_3,"Reserved slot for future general features."
general_reserved_4,"Reserved slot for future general features."
general_reserved_5,"Reserved slot for future general features."
string_suspicious_hits,"Count of printable ASCII strings (>= 5 chars) matching terms in the suspicious terms list (Python analysis)."
string_url_count,"Count of printable ASCII strings containing 'http://' or 'https://' (Python analysis)."
string_ip_count,"Count of printable ASCII strings resembling IPv4 addresses (Python analysis)."
string_base64_count,"Count of printable ASCII strings (>= 16 chars) potentially containing Base64 encoded data (Python analysis)."
string_pdb_count,"Count of printable ASCII strings ending with '.pdb' (Python analysis)."
string_user_agent_count,"Count of printable ASCII strings containing 'user-agent:' (Python analysis)."
string_longest_len,"Length of the longest printable ASCII string (>= 5 chars) found (Python analysis)."
string_powershell_encoded_count,"Count of printable ASCII strings matching PowerShell encoded command patterns (Python analysis)."
string_shadow_copy_delete_count,"Count of printable ASCII strings matching VSSAdmin shadow copy deletion patterns (Python analysis)."
string_exploit_keyword_count,"Count of printable ASCII strings containing exploit-related keywords (Python analysis)."
string_malware_framework_count,"Count of printable ASCII strings indicating malware frameworks (Python analysis)."
string_c2_pattern_count,"Count of printable ASCII strings matching command-and-control patterns (Python analysis)."
string_reserved_1,"Reserved slot for future string features."
string_reserved_2,"Reserved slot for future string features."
string_reserved_3,"Reserved slot for future string features."
string_reserved_4,"Reserved slot for future string features."
string_reserved_5,"Reserved slot for future string features."
yara_hit_AmsiBypass,"YARA Rule Hit: Indicates a match for the 'AmsiBypass' rule."
yara_hit_AntiDebugImports,"YARA Rule Hit: Indicates a match for the 'AntiDebugImports' rule."
